dataSourceId|identifier|industry|requiredLanguage|minValue|maxValue|title|hiringOrganization|jobLocation|geoLocation|description|datePosted|firstSeen|lastSeen|python|advanced computing|programming|computational systems|coding|cloud computing|databases|data management|data engineering|data mining|data formats|linked data|information extraction|stream processing|enterprise process|business intelligence|data anonymisation|semantics|schema|data licensing|data quality|data governance|data science|big data|open data|machine learning|social network analysis|inference|reasoning|process mining|Linear algebra|Calculus|Mathematics|Statistics|Probability|RStudio|Data analytics|Data analysis|data visualisation|infographics|interaction|data mapping|data stories|data journalism|d3js|tableau
Indeed|http://www.indeed.es/viewjob?jk=114a894b59af4934|Unknown|ns|1|1|Data Scientist Analytics Consultant (Madrid)|Accenture|Madrid, Madrid|http://sws.geonames.org/3117735/||2015-11-10T21:24:41|||0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
Indeed|http://ie.indeed.com/viewjob?jk=48e5743672a6f558|Unknown|ns|1|1|Visual Analytics Consultant|Accenture|Dublin|http://sws.geonames.org/2964574/||2015-11-10T21:24:26|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
Indeed|http://it.indeed.com/viewjob?jk=181747c647339828|Unknown|ns|1|1|Analytics Senior Manager|Accenture|Milano, Lombardia|http://sws.geonames.org/3173435/||2015-11-10T21:24:26|||0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
Indeed|http://www.indeed.co.uk/viewjob?jk=d3d1ed641916174a|Unknown|ns|1|1|Information & Analytics Strategy Manager|Accenture|London|http://sws.geonames.org/2643743/||2015-11-10T21:24:25|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
Indeed|http://www.indeed.es/viewjob?jk=dded03f9dd561c37|Unknown|ns|1|2|ANALYTICS Predictive Asset Maintenance (PAM) Management Scientist, Analyst|Accenture|Barcelona, Barcelona|http://sws.geonames.org/3128760/||2015-11-10T21:24:25|||0|0|2|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
Indeed|http://www.indeed.fr/viewjob?jk=f33b89774cbb60c2|Unknown|ns|1|1|Consultant Data Media (H/F)|Accenture|Paris (75)|http://sws.geonames.org/2988507/||2015-11-10T21:24:22|||0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
Indeed|http://ie.indeed.com/viewjob?jk=6304b3ecd66128cb|Unknown|ns|1|2|Software Development Engineer – Amazon Web Services (AWS) EC2 CloudWatch|Amazon Data Services Ireland Limited|Dublin|http://sws.geonames.org/2964574/||2015-11-10T21:24:05|||0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|
Indeed|http://www.indeed.nl/viewjob?jk=e8881f28e8d1f2f6|Unknown|ns|1|1|Analytics Specialist/Data Scienist|Accenture|Almere|http://sws.geonames.org/2759879/||2015-11-10T21:24:03|||0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
Indeed|http://dk.indeed.com/viewjob?jk=bdeb1d019a1c1c26|Unknown|ns|1|2|SAP BI Consultant|Accenture|København|http://sws.geonames.org/2618425/||2015-11-10T21:24:02|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
Indeed|http://www.indeed.fr/viewjob?jk=aaa258acc837a881|Unknown|ns|1|1|Consultant Expérimenté Data Scientist (H/F)|Accenture|Paris (75)|http://sws.geonames.org/2988507/||2015-11-10T21:24:02|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
