dataSourceId|identifier|industry|requiredLanguage|datePosted|firstSeen|lastSeen|minValue|maxValue|title|hiringOrganization|jobLocation|description|python|advanced computing|programming|computational systems|coding|cloud computing|databases|data management|data engineering|data mining|data formats|linked data|information extraction|stream processing|enterprise process|business intelligence|data anonymisation|semantics|schema|data licensing|data quality|data governance|data science|big data|open data|machine learning|social network analysis|inference|reasoning|process mining|Linear algebra|Calculus|Mathematics|Statistics|Probability|RStudio|Data analytics|Data analysis|data visualisation|infographics|interaction|data mapping|data stories|data journalism|d3js|tableau
stackoverflow|http://careers.stackoverflow.com/jobs/93180/web-developer-asp-net-c-sharp-mvc-javascript-creative-clarity-ltd|Unknown|ns|2015-09-14T15:43:35|||1|1|Web Developer - ASP. Net / C# / MVC / JavaScript at Creative Clarity Ltd (Milton Keynes, UK)|Creative Clarity Ltd|Milton Keynes, UK||0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97802/devops-engineer-importio|Unknown|ns|2015-09-14T15:43:35|||2|2|DevOps Engineer at import.io (London, UK)|import.io|London, UK||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97778/web-developer-istituto-italiano-di|Unknown|ns|2015-09-14T10:43:35|||1|1|Web Developer at Istituto Italiano di Tecnologia (Genova, Italy)|Istituto Italiano di Tecnologia|Genova, Italy||0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/93072/data-scientist-feedzai|Unknown|ns|2015-09-13T20:43:34|||1|1|Data Scientist at Feedzai (Lisbon, Portugal)|Feedzai|Lisbon, Portugal||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97739/full-stack-developer-30-hr-crossover|Unknown|ns|2015-09-13T19:43:35|||1|1|Full Stack Developer - $30/hr at Crossover (Bucharest, Romania) (allows remote)|Crossover|Bucharest, Romania||0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/95459/developer-typeform|Unknown|ns|2015-09-13T12:43:35|||1|1|Developer at Typeform (El Prat de Llobregat, Spain)|Typeform|El Prat de Llobregat, Spain||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/76424/creative-developer-frontend-personalization-scarab-research|Unknown|ns|2015-09-13T12:43:34|||2|2|Creative developer (frontend, personalization, profit) at Scarab Research (Budapest, Hungary)|Scarab Research|Budapest, Hungary||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/85774/cloud-systems-engineer-cloudreach|Unknown|ns|2015-09-13T12:43:33|||1|1|Cloud Systems Engineer at Cloudreach (Amsterdam, Netherlands)|Cloudreach|Amsterdam, Netherlands||1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/85673/senior-machine-learning-scientist-personalization-bookingcom|Unknown|ns|2015-09-12T08:43:34|||1|1|Senior Machine Learning Scientist, Personalization at Booking.com (Amsterdam, Netherlands)|Booking.com|Amsterdam, Netherlands||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/95285/senior-software-developer-with-bi-skills-coolblue|Unknown|ns|2015-09-11T15:43:35|||2|2|Senior Software Developer with BI skills at Coolblue (Rotterdam, Netherlands)|Coolblue|Rotterdam, Netherlands||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
